CH3	CH4
33625	32172
33714	32188
33796	32273
33876	32360
33953	32424
33992	32524
34116	32646
34168	32706
34272	32762
34344	32848
34488	32993
34536	32989
34632	33104
34744	33224
34840	33248
34944	33288
35042	33396
35169	33460
35268	33516
35384	33666
35544	33676
35636	33808
35752	33914
35864	34000
35986	34048
36176	34184
36216	34208
36356	34312
36504	34364
36608	34516
36812	34564
36922	34693
36976	34793
37104	34956
37308	35048
37352	35178
37468	35268
37601	35360
37730	35436
37844	35568
38033	35724
38080	35800
38220	35992
38392	36068
38444	36224
38560	36252
38776	36386
38784	36580
38913	36664
39000	36740
39124	36832
39201	37004
39312	37078
39432	37204
39510	37324
39589	37408
39700	37464
39776	37628
39896	37748
39956	37772
40144	37890
40128	38000
40208	38013
40322	38180
40364	38228
40448	38304
40520	38328
40588	38488
40649	38560
40856	38602
40792	38592
40857	38708
40952	38744
41068	38832
41096	38904
41096	38856
41168	38928
41264	39018
41192	38969
41233	39018
41296	39024
41444	39120
41336	39100
41389	39096
41388	39120
41418	39112
41560	39180
41456	39189
41468	39168
41480	39124
41528	39072
41496	39148
41506	39064
41612	39051
41492	39040
41564	39032
41481	39016
41472	38984
41456	39052
41445	39040
41453	38960
41473	39008
41400	38986
41364	38904
41400	38858
41416	38877
41284	38824
41236	38845
41248	38845
41174	38745
41144	38704
41101	38696
41040	38694
41056	38706
40960	38664
41040	38556
40872	38585
40808	38489
40784	38476
40708	38376
40744	38320
40720	38316
40540	38236
40616	38145
40424	38188
40416	38136
40308	38076
40248	37937
40192	37921
40122	37873
40056	37700
40032	37672
40048	37617
39897	37582
39800	37426
39736	37381
39672	37308
39600	37200
39632	37136
39453	37017
39400	36980
39320	36856
39236	36812
39193	36748
39098	36589
39128	36500
38956	36456
38960	36412
38928	36240
38749	36209
38738	36104
38600	35944
38596	35876
38460	35820
38364	35692
38304	35568
38280	35540
38196	35368
38172	35352
38036	35172
37944	35076
37865	35044
37805	34899
37725	34772
37742	34688
37680	34608
37581	34500
37450	34364
37361	34324
37292	34184
37224	34090
37160	33964
37081	33908
37048	33824
36964	33672
36888	33568
36784	33456
36752	33388
36637	33272
36576	33226
36504	33108
36490	32988
36348	32908
36340	32808
36208	32780
36154	32644
36112	32544
35984	32520
35902	32416
35872	32337
35729	32225
35650	32160
35604	32085
35528	32064
35446	31937
35274	31900
35220	31832
35076	31728
35040	31692
34880	31636
34812	31541
34656	31488
34616	31444
34428	31408
34325	31326
34213	31264
34112	31208
33972	31122
33901	31058
33756	31022
33648	30944
33520	30944
33396	30842
33284	30844
33176	30796
33104	30698
32988	30648
32849	30624
32774	30601
32643	30532
32550	30504
32440	30406
32340	30400
32253	30321
32164	30281
32064	30248
31986	30186
31885	30148
31820	30112
31716	30056
31640	30026
31557	30036
31476	29954
31400	29904
31320	29868
31246	29848
31176	29789
31096	29768
31020	29744
30954	29696
30884	29682
30812	29672
30752	29652
30682	29624
30612	29520
30552	29504
30496	29488
30433	29460
30368	29428
30301	29428
30244	29388
30208	29368
30128	29349
30098	29336
30060	29356
30000	29385
29972	29316
29920	29305
29888	29302
29856	29360
29825	29360
29789	29356
29760	29356
29720	29308
29722	29308
29694	29357
29669	29342
29648	29344
29656	29352
29616	29404
29616	29388
29608	29408
29629	29474
29601	29456
29628	29514
29611	29572
29633	29557
29648	29592
29657	29664
29665	29648
29672	29676
29666	29787
29702	29766
29726	29808
29748	29832
29763	29926
29797	29968
29828	29975
29852	30092
29884	30139
29890	30105
29928	30196
29980	30192
29996	30265
30050	30270
30088	30333
30132	30394
30164	30368
30200	30404
30240	30456
30292	30472
30325	30476
30372	30489
30418	30577
30452	30522
30496	30580
30540	30576
30572	30640
30612	30592
30658	30596
30698	30620
30732	30683
30777	30716
30801	30672
30836	30648
30864	30660
30892	30664
30914	30744
30946	30688
30960	30684
30994	30732
31005	30726
31030	30693
31036	30702
31056	30776
31068	30704
31068	30701
31073	30756
31090	30770
31096	30694
31096	30752
31096	30708
31092	30766
31094	30717
31092	30737
31092	30680
31084	30680
31077	30738
31073	30686
31070	30692
31064	30762
31054	30760
31044	30693
31060	30672
31040	30744
31036	30688
31032	30700
31032	30704
31025	30790
31033	30704
31036	30742
31041	30736
31057	30812
31048	30754
31056	30832
31072	30788
31076	30808
31085	30892
31084	30858
31097	30864
31112	30960
31125	30944
31128	31010
31136	30994
31146	31050
31152	31113
31164	31144
31174	31122
31188	31244
31200	31240
31210	31232
31236	31321
31248	31320
31256	31368
31276	31443
31298	31464
31312	31592
31329	31616
31348	31648
31370	31761
31392	31744
31421	31872
31440	31928
31480	32032
31492	32032
31522	32171
31552	32222
31588	32268
31605	32324
31644	32420
31688	32488
31708	32574
31728	32721
31776	32726
31788	32902
31832	32888
31864	33004
31880	33048
31909	33132
31937	33196
31968	33260
32008	33333
32024	33428
32036	33474
32065	33588
32089	33600
32105	33704
32144	33736
32141	33774
32180	33848
32200	33896
32212	33949
32225	33992
32229	34104
32256	34052
32268	34104
32290	34162
32304	34232
32358	34290
32378	34328
32384	34328
32384	34294
32400	34337
32424	34332
32440	34344
32464	34296
32504	34296
32485	34354
32524	34324
32537	34368
32534	34260
32544	34216
32584	34196
32584	34185
